14637197	4739839025	@@14637197		fo
14637197	4739839026	<p>		null
14637197	4739839027	NEW	new	np1
14637197	4739839028	YORK	york	np1
14637197	4739839029	(		(
14637197	4739839030	AP	ap	np1
14637197	4739839031	)		)
14637197	4739839032	--		jj_nn1
14637197	4739839033	Donald	donald	np1
14637197	4739839034	Trump	trump	nn1
14637197	4739839035	's	's	ge
14637197	4739839036	five-day	five-day	jj
14637197	4739839037	feud	feud	nn1
14637197	4739839038	with	with	iw
14637197	4739839039	a	a	at1
14637197	4739839040	former	former	da
14637197	4739839041	beauty	beauty	nn1
14637197	4739839042	queen	queen	nn1
14637197	4739839043	is	be	vbz
14637197	4739839044	only	only	rr
14637197	4739839045	the	the	at
14637197	4739839046	latest	late	jjt
14637197	4739839047	example	example	nn1
14637197	4739839048	of	of	io
14637197	4739839049	his	his	appge
14637197	4739839050	insistence	insistence	nn1
14637197	4739839051	on	on	ii
14637197	4739839052	airing	airing	nn1
14637197	4739839053	and	and	cc
14637197	4739839054	re-airing		vvg@_nn1
14637197	4739839055	his	his	appge
14637197	4739839056	grievances	grievance	nn2
14637197	4739839057	no	no	rr%_at
14637197	4739839058	matter	matter	vv0_nn1
14637197	4739839059	the	the	at
14637197	4739839060	political	political	jj
14637197	4739839061	cost	cost	nn1
14637197	4739839062	.		.
14637197	4739839063	<p>		null
14637197	4739839064	The	the	at
14637197	4739839065	Republican	republican	nn1_jj@
14637197	4739839066	nominee	nominee	nn1
14637197	4739839067	's	's	ge_vbz
14637197	4739839068	brash	brash	jj
14637197	4739839069	,		,
14637197	4739839070	confrontational	confrontational	jj
14637197	4739839071	style	style	nn1
14637197	4739839072	has	have	vhz
14637197	4739839073	thrilled	thrill	vvn
14637197	4739839074	his	his	appge
14637197	4739839075	millions	million	nno2
14637197	4739839076	of	of	io
14637197	4739839077	supporters	supporter	nn2
14637197	4739839078	,		,
14637197	4739839079	who	who	pnqs
14637197	4739839080	have	have	vh0
14637197	4739839081	cheered	cheer	vvn
14637197	4739839082	the	the	at
14637197	4739839083	celebrity	celebrity	nn1
14637197	4739839084	businessman	businessman	nn1
14637197	4739839085	's	's	ge
14637197	4739839086	tenacity	tenacity	nn1
14637197	4739839087	and	and	cc
14637197	4739839088	thirst	thirst	vv0_nn1
